Ref,Val,Package,PosX,PosY,Rot,Side
"D1","D_Small","D_SOD-123",36.000000,-46.750000,180.000000,bottom
"D2","D_Small","D_SOD-123",36.000000,-63.750000,180.000000,bottom
"D3","D_Small","D_SOD-123",36.000000,-80.750000,180.000000,bottom
"D4","D_Small","D_SOD-123",54.000000,-38.250000,180.000000,bottom
"D5","D_Small","D_SOD-123",54.000000,-55.250000,180.000000,bottom
"D6","D_Small","D_SOD-123",54.000000,-72.250000,180.000000,bottom
"D8","D_Small","D_SOD-123",72.000000,-29.750000,180.000000,bottom
"D9","D_Small","D_SOD-123",72.000000,-46.750000,180.000000,bottom
"D10","D_Small","D_SOD-123",72.000000,-63.750000,180.000000,bottom
"D11","D_Small","D_SOD-123",72.000000,-80.750000,180.000000,bottom
"D12","D_Small","D_SOD-123",90.000000,-29.750000,180.000000,bottom
"D13","D_Small","D_SOD-123",90.000000,-46.750000,180.000000,bottom
"D14","D_Small","D_SOD-123",90.000000,-63.750000,180.000000,bottom
"D15","D_Small","D_SOD-123",90.000000,-80.750000,180.000000,bottom
"D16","D_Small","D_SOD-123",108.000000,-29.750000,180.000000,bottom
"D17","D_Small","D_SOD-123",108.000000,-46.750000,180.000000,bottom
"D18","D_Small","D_SOD-123",108.000000,-63.750000,180.000000,bottom
"D19","D_Small","D_SOD-123",108.000000,-80.750000,180.000000,bottom
"U1","Seeed Studio XIAO nRF52840","XIAO-nRF52840-Sense-14P-2.54-21X17.8MM",36.000000,-35.212015,180.000000,bottom
